"date" "lat_pm" "long_pm" "pm" "lat_aot" "long_aot" "aot"
2007-08-10 40.776944 -124.1775 4 40.9 -124.2 -0.0219542533159256
2007-09-21 40.776944 -124.1775 8.2 40.9 -124.2 0.172695115208626
2007-09-21 40.776944 -124.1775 8.2 40.9 -124.3 0.0901605635881424
2007-09-21 40.776944 -124.1775 8.2 40.8 -124.3 0.0618699043989182
2007-09-21 40.776944 -124.1775 8.2 40.9 -124.2 0.172695115208626
2007-09-21 40.776944 -124.1775 8.2 40.9 -124.3 0.0901605635881424
2007-09-21 40.776944 -124.1775 8.2 40.8 -124.3 0.0618699043989182
2007-09-21 40.776944 -124.1775 8.2 40.9 -124.2 0.172695115208626
2007-09-21 40.776944 -124.1775 8.2 40.9 -124.3 0.0901605635881424
2007-09-21 40.776944 -124.1775 8.2 40.8 -124.3 0.0618699043989182
2007-10-21 40.776944 -124.1775 8.3 40.9 -124.3 -0.0509703159332275
2007-10-21 40.776944 -124.1775 8.3 40.8 -124.3 0.071138933300972
2007-10-21 40.776944 -124.1775 8.3 40.9 -124.2 0.638564050197601
2007-10-21 40.776944 -124.1775 8.3 40.9 -124.3 -0.0509703159332275
2007-10-21 40.776944 -124.1775 8.3 40.8 -124.3 0.071138933300972
2007-10-21 40.776944 -124.1775 8.3 40.9 -124.2 0.638564050197601
2007-10-21 40.776944 -124.1775 8.3 40.9 -124.3 -0.0509703159332275
2007-10-21 40.776944 -124.1775 8.3 40.8 -124.3 0.071138933300972
2007-10-21 40.776944 -124.1775 8.3 40.9 -124.2 0.638564050197601
2007-11-20 40.776944 -124.1775 16.5 40.9 -124.2 0.161814108490944
2007-11-20 40.776944 -124.1775 16.5 40.9 -124.3 -0.0294500589370728
2007-11-20 40.776944 -124.1775 16.5 40.8 -124.3 0.00964100658893585
2007-11-20 40.776944 -124.1775 16.5 40.9 -124.2 0.161814108490944
2007-11-20 40.776944 -124.1775 16.5 40.9 -124.3 -0.0294500589370728
2007-11-20 40.776944 -124.1775 16.5 40.8 -124.3 0.00964100658893585
2007-11-20 40.776944 -124.1775 16.5 40.9 -124.2 0.161814108490944
2007-11-20 40.776944 -124.1775 16.5 40.9 -124.3 -0.0294500589370728
2007-11-20 40.776944 -124.1775 16.5 40.8 -124.3 0.00964100658893585
2007-11-29 40.776944 -124.1775 9 40.9 -124.2 0.217831268906593
2007-11-29 40.776944 -124.1775 9 40.9 -124.3 0.00150038301944733
2007-11-29 40.776944 -124.1775 9 40.8 -124.3 0.0264058411121368
2007-11-29 40.776944 -124.1775 9 40.7 -124.3 0.368714690208435
2007-11-29 40.776944 -124.1775 9 40.9 -124.2 0.217831268906593
2007-11-29 40.776944 -124.1775 9 40.9 -124.3 0.00150038301944733
2007-11-29 40.776944 -124.1775 9 40.8 -124.3 0.0264058411121368
2007-11-29 40.776944 -124.1775 9 40.7 -124.3 0.368714690208435
2007-11-29 40.776944 -124.1775 9 40.9 -124.2 0.217831268906593
2007-11-29 40.776944 -124.1775 9 40.9 -124.3 0.00150038301944733
2007-11-29 40.776944 -124.1775 9 40.8 -124.3 0.0264058411121368
2007-11-29 40.776944 -124.1775 9 40.7 -124.3 0.368714690208435
2007-11-29 40.776944 -124.1775 9 40.9 -124.2 0.217831268906593
2007-11-29 40.776944 -124.1775 9 40.9 -124.3 0.00150038301944733
2007-11-29 40.776944 -124.1775 9 40.8 -124.3 0.0264058411121368
2007-11-29 40.776944 -124.1775 9 40.7 -124.3 0.368714690208435
2007-12-08 40.776944 -124.1775 13 40.9 -124.2 0.161814108490944
2007-12-08 40.776944 -124.1775 13 40.8 -124.3 0.0350300520658493
2007-12-08 40.776944 -124.1775 13 40.9 -124.3 0.0350300520658493
2007-12-08 40.776944 -124.1775 13 40.9 -124.2 0.161814108490944
2007-12-08 40.776944 -124.1775 13 40.8 -124.3 0.0350300520658493
2007-12-08 40.776944 -124.1775 13 40.9 -124.3 0.0350300520658493
2007-12-08 40.776944 -124.1775 13 40.9 -124.2 0.161814108490944
2007-12-08 40.776944 -124.1775 13 40.8 -124.3 0.0350300520658493
2007-12-08 40.776944 -124.1775 13 40.9 -124.3 0.0350300520658493
2008-02-15 40.776944 -124.1775 18.9 40.8 -124.3 0.18373729288578
2008-02-15 40.776944 -124.1775 18.9 40.9 -124.3 -0.112226434051991
2008-02-15 40.776944 -124.1775 18.9 40.9 -124.2 0.0999131947755814
2008-02-15 40.776944 -124.1775 18.9 40.8 -124.3 0.18373729288578
2008-02-15 40.776944 -124.1775 18.9 40.9 -124.3 -0.112226434051991
2008-02-15 40.776944 -124.1775 18.9 40.9 -124.2 0.0999131947755814
2008-02-15 40.776944 -124.1775 18.9 40.8 -124.3 0.18373729288578
2008-02-15 40.776944 -124.1775 18.9 40.9 -124.3 -0.112226434051991
2008-02-15 40.776944 -124.1775 18.9 40.9 -124.2 0.0999131947755814
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.2 0.512183010578156
2008-03-04 40.776944 -124.1775 6.3 40.8 -124.3 0.0901605635881424
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.3 0.043815478682518
2008-03-04 40.776944 -124.1775 6.3 40.7 -124.3 0.241366490721703
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.2 0.512183010578156
2008-03-04 40.776944 -124.1775 6.3 40.8 -124.3 0.0901605635881424
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.3 0.043815478682518
2008-03-04 40.776944 -124.1775 6.3 40.7 -124.3 0.241366490721703
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.2 0.512183010578156
2008-03-04 40.776944 -124.1775 6.3 40.8 -124.3 0.0901605635881424
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.3 0.043815478682518
2008-03-04 40.776944 -124.1775 6.3 40.7 -124.3 0.241366490721703
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.2 0.512183010578156
2008-03-04 40.776944 -124.1775 6.3 40.8 -124.3 0.0901605635881424
2008-03-04 40.776944 -124.1775 6.3 40.9 -124.3 0.043815478682518
2008-03-04 40.776944 -124.1775 6.3 40.7 -124.3 0.241366490721703
2008-03-13 40.776944 -124.1775 3.4 40.9 -124.3 0.229518249630928
2008-03-25 40.776944 -124.1775 6.9 40.8 -124.3 0.109827026724815
2008-03-25 40.776944 -124.1775 6.9 40.9 -124.2 0.194940730929375
2008-03-25 40.776944 -124.1775 6.9 40.8 -124.3 0.109827026724815
2008-03-25 40.776944 -124.1775 6.9 40.9 -124.2 0.194940730929375
2008-04-12 40.776944 -124.1775 9.8 40.8 -124.3 -0.0578213334083557
2008-04-12 40.776944 -124.1775 9.8 40.9 -124.3 -0.0710397511720657
2008-04-12 40.776944 -124.1775 9.8 40.9 -124.2 -0.0219542533159256
