"date" "lat_pm" "long_pm" "pm" "lat_aot" "long_aot" "aot"
2009-03-12 21.303382 -157.871171 6.7 21.2 -157.9 -0.0219542533159256
2009-03-13 21.303382 -157.871171 3.8 21.2 -157.9 0.119902029633522
2009-03-19 21.303382 -157.871171 8.4 21.2 -157.9 0.161814108490944
2009-03-22 21.303382 -157.871171 8.6 21.2 -157.9 0.140535667538643
2009-03-25 21.303382 -157.871171 8 21.2 -157.9 0.0618699043989182
2009-03-26 21.303382 -157.871171 7.2 21.2 -157.9 0.162539482116699
2009-03-30 21.303382 -157.871171 6.6 21.2 -157.9 0.18373729288578
2009-04-03 21.303382 -157.871171 9.8 21.2 -157.9 0.229518249630928
2009-04-07 21.303382 -157.871171 10.7 21.2 -157.9 0.110552400350571
2009-04-12 21.303382 -157.871171 9.2 21.2 -157.9 0.140535667538643
2009-04-15 21.303382 -157.871171 6.2 21.2 -157.9 0.107973173260689
2009-04-19 21.303382 -157.871171 6.4 21.2 -157.9 0.071138933300972
2009-04-20 21.303382 -157.871171 7.7 21.2 -157.9 0.0527621060609818
2009-04-25 21.303382 -157.871171 7 21.2 -157.9 0.245315879583359
2009-04-29 21.303382 -157.871171 9.1 21.2 -157.9 0.140535667538643
2009-05-03 21.303382 -157.871171 8.5 21.2 -157.9 0.109827026724815
2009-05-04 21.303382 -157.871171 20.8 21.2 -157.9 0.189500227570534
2009-05-06 21.303382 -157.871171 9.2 21.2 -157.9 0.109383672475815
2009-05-08 21.303382 -157.871171 9 21.2 -157.9 0.194940730929375
2009-05-10 21.303382 -157.871171 4.5 21.2 -157.9 -0.0142972469329834
2009-05-12 21.303382 -157.871171 7.9 21.2 -157.9 0.206305339932442
2009-05-13 21.303382 -157.871171 6.6 21.2 -157.9 0.109827026724815
2009-05-14 21.303382 -157.871171 7.1 21.2 -157.9 0.139850586652756
2009-05-15 21.303382 -157.871171 8.4 21.2 -157.9 0.161814108490944
2009-05-16 21.303382 -157.871171 8.7 21.2 -157.9 0.00964100658893585
2009-05-17 21.303382 -157.871171 9.3 21.2 -157.9 0.130138233304024
2009-05-18 21.303382 -157.871171 6 21.2 -157.9 0.194940730929375
2009-05-22 21.303382 -157.871171 5.3 21.2 -157.9 0.0805691331624985
2009-05-23 21.303382 -157.871171 5.2 21.2 -157.9 0.0999131947755814
2009-05-25 21.303382 -157.871171 9 21.2 -157.9 -0.0896583795547485
2009-05-30 21.303382 -157.871171 7.2 21.2 -157.9 0.0805691331624985
2009-05-31 21.303382 -157.871171 4.5 21.2 -157.9 -0.0142972469329834
2009-06-01 21.303382 -157.871171 5.8 21.2 -157.9 0.043815478682518
2009-06-02 21.303382 -157.871171 5.8 21.2 -157.9 -0.0242513567209244
