"date" "lati_aod" "long_aod" "value_aod" "lati_pm" "long_pm" "value_pm"
"1" 2006-02-19 40.9 -124.2 0.206305339932442 40.80178 -124.1621 18.9
"2" 2006-02-22 40.9 -124.2 0.0618699043989182 40.80178 -124.1621 12.2
"3" 2006-05-11 40.9 -124.2 0.497110784053802 40.80178 -124.1621 8.9
"4" 2006-05-29 40.9 -124.2 0.0979385077953339 40.80178 -124.1621 2.2
"5" 2006-08-09 40.9 -124.2 0.0350300520658493 40.80178 -124.1621 4.8
"6" 2006-08-15 40.9 -124.2 0.253375887870789 40.80178 -124.1621 2.7
"7" 2006-09-20 40.9 -124.2 0.0805691331624985 40.80178 -124.1621 5.8
"8" 2006-10-02 40.9 -124.2 0.206305339932442 40.80178 -124.1621 12.6
"9" 2006-10-08 40.9 -124.2 0.071138933300972 40.80178 -124.1621 9.3
"10" 2006-10-11 40.9 -124.2 -0.0578213334083557 40.80178 -124.1621 11.2
"11" 2006-12-01 40.9 -124.2 0.0264058411121368 40.80178 -124.1621 13.2
"12" 2006-12-04 40.9 -124.2 0.18373729288578 40.80178 -124.1621 21.5
"13" 2006-12-07 40.9 -124.2 0.043815478682518 40.80178 -124.1621 35
"14" 2007-01-12 40.9 -124.2 0.497110784053802 40.80178 -124.1621 17.5
"15" 2007-01-15 40.9 -124.2 0.043815478682518 40.80178 -124.1621 33.8
"16" 2007-02-11 40.9 -124.2 0.482199788093567 40.80178 -124.1621 3.8
"17" 2007-03-28 40.9 -124.2 0.341955482959747 40.80178 -124.1621 6.7
"18" 2007-05-18 40.9 -124.2 0.0805691331624985 40.80178 -124.1621 5.5
"19" 2007-08-10 40.9 -124.2 -0.0219542533159256 40.80178 -124.1621 4.5
"20" 2007-09-21 40.9 -124.2 0.172695115208626 40.80178 -124.1621 9.3
"21" 2007-10-21 40.9 -124.2 0.638564050197601 40.80178 -124.1621 8.4
"22" 2007-11-20 40.9 -124.2 0.161814108490944 40.80178 -124.1621 9.5
"23" 2007-11-29 40.9 -124.2 0.217831268906593 40.80178 -124.1621 7.5
"24" 2007-12-08 40.9 -124.2 0.161814108490944 40.80178 -124.1621 11.4
"25" 2008-03-04 40.9 -124.2 0.512183010578156 40.80178 -124.1621 6.3
"26" 2008-03-25 40.9 -124.2 0.194940730929375 40.80178 -124.1621 7.5
"27" 2008-04-12 40.9 -124.2 -0.0219542533159256 40.80178 -124.1621 9.2
"28" 2008-04-18 40.9 -124.2 0.119902029633522 40.80178 -124.1621 6.9
"29" 2008-04-30 40.9 -124.2 0.558366894721985 40.80178 -124.1621 3.8
"30" 2008-05-30 40.9 -124.2 0.172695115208626 40.80178 -124.1621 5.2
"31" 2008-06-07 40.9 -124.2 0.413729876279831 40.80178 -124.1621 4.8
"32" 2008-06-11 40.9 -124.2 0.161814108490944 40.80178 -124.1621 7.4
"33" 2008-06-17 40.9 -124.2 0.0999131947755814 40.80178 -124.1621 4
"34" 2008-07-23 40.9 -124.2 0.194940730929375 40.80178 -124.1621 6
"35" 2008-09-04 40.9 -124.2 0.136948928236961 40.80178 -124.1621 11.3
"36" 2008-10-12 40.9 -124.2 0.0264058411121368 40.80178 -124.1621 9.9
"37" 2008-10-21 40.9 -124.2 -0.0896583795547485 40.80178 -124.1621 6.3
"38" 2008-12-17 40.9 -124.2 0.172695115208626 40.80178 -124.1621 21.5
"39" 2009-01-13 40.9 -124.2 0.119902029633522 40.80178 -124.1621 23.2
"40" 2009-01-16 40.9 -124.2 0.151094272732735 40.80178 -124.1621 17.3
"41" 2009-05-07 40.9 -124.2 0.18373729288578 40.80178 -124.1621 2.6
"42" 2009-05-19 40.9 -124.2 0.574083864688873 40.80178 -124.1621 4.1
"43" 2009-06-06 40.9 -124.2 0.315841019153595 40.80178 -124.1621 2.4
"44" 2009-06-12 40.9 -124.2 0.424167692661285 40.80178 -124.1621 5.1
"45" 2009-10-01 40.9 -124.2 -0.117465443909168 40.80178 -124.1621 5
"46" 2009-10-07 40.9 -124.2 0.119902029633522 40.80178 -124.1621 8.5
"47" 2009-10-19 40.9 -124.2 0.220934331417084 40.80178 -124.1621 3.8
"48" 2009-11-06 40.9 -124.2 0.0805691331624985 40.80178 -124.1621 10.2
"49" 2009-11-15 40.9 -124.2 0.167738199234009 40.80178 -124.1621 16.7
"50" 2009-11-18 40.9 -124.2 -0.0142972469329834 40.80178 -124.1621 7.7
"51" 2009-11-27 40.9 -124.2 0.229518249630928 40.80178 -124.1621 6
