"latitude","longtitude"
21.303382,-157.871171
21.392833,-157.969126
21.323745,-158.088613
19.555444,-155.102028
21.30758,-157.85542
20.780997,-156.446373
21.949599,-159.36624
19.717562,-155.11053
19.509778,-155.913417
19.2039,-155.480183
19.569833,-155.08065
19.117561,-155.778136
19.977467,-155.798067
20.902031,-156.370344
20.869627,-156.493626
19.4203,-155.2881
